"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	Population
"Total"	"Monroe County, FL"	"12087"			74228
	"Nassau County, FL"	"12089"	"Female"	"F"	45102
	"Nassau County, FL"	"12089"	"Male"	"M"	43523
"Total"	"Nassau County, FL"	"12089"			88625
	"Okaloosa County, FL"	"12091"	"Female"	"F"	103959
	"Okaloosa County, FL"	"12091"	"Male"	"M"	106779
"Total"	"Okaloosa County, FL"	"12091"			210738
	"Okeechobee County, FL"	"12093"	"Female"	"F"	19531
	"Okeechobee County, FL"	"12093"	"Male"	"M"	22637
"Total"	"Okeechobee County, FL"	"12093"			42168
	"Orange County, FL"	"12095"	"Female"	"F"	709659
	"Orange County, FL"	"12095"	"Male"	"M"	683793
"Total"	"Orange County, FL"	"12095"			1393452
	"Osceola County, FL"	"12097"	"Female"	"F"	190159
	"Osceola County, FL"	"12097"	"Male"	"M"	185592
"Total"	"Osceola County, FL"	"12097"			375751
	"Palm Beach County, FL"	"12099"	"Female"	"F"	771325
	"Palm Beach County, FL"	"12099"	"Male"	"M"	725445
"Total"	"Palm Beach County, FL"	"12099"			1496770
	"Pasco County, FL"	"12101"	"Female"	"F"	284632
	"Pasco County, FL"	"12101"	"Male"	"M"	269315
"Total"	"Pasco County, FL"	"12101"			553947
	"Pinellas County, FL"	"12103"	"Female"	"F"	506895
	"Pinellas County, FL"	"12103"	"Male"	"M"	468101
"Total"	"Pinellas County, FL"	"12103"			974996
	"Polk County, FL"	"12105"	"Female"	"F"	369357
	"Polk County, FL"	"12105"	"Male"	"M"	355420
"Total"	"Polk County, FL"	"12105"			724777
	"Putnam County, FL"	"12107"	"Female"	"F"	37612
	"Putnam County, FL"	"12107"	"Male"	"M"	36909
"Total"	"Putnam County, FL"	"12107"			74521
	"St. Johns County, FL"	"12109"	"Female"	"F"	135729
	"St. Johns County, FL"	"12109"	"Male"	"M"	128943
"Total"	"St. Johns County, FL"	"12109"			264672
	"St. Lucie County, FL"	"12111"	"Female"	"F"	168163
	"St. Lucie County, FL"	"12111"	"Male"	"M"	160134
"Total"	"St. Lucie County, FL"	"12111"			328297
	"Santa Rosa County, FL"	"12113"	"Female"	"F"	90373
	"Santa Rosa County, FL"	"12113"	"Male"	"M"	93940
"Total"	"Santa Rosa County, FL"	"12113"			184313
	"Sarasota County, FL"	"12115"	"Female"	"F"	227167
	"Sarasota County, FL"	"12115"	"Male"	"M"	206575
"Total"	"Sarasota County, FL"	"12115"			433742
	"Seminole County, FL"	"12117"	"Female"	"F"	243651
	"Seminole County, FL"	"12117"	"Male"	"M"	228175
"Total"	"Seminole County, FL"	"12117"			471826
	"Sumter County, FL"	"12119"	"Female"	"F"	66573
	"Sumter County, FL"	"12119"	"Male"	"M"	65847
"Total"	"Sumter County, FL"	"12119"			132420
	"Suwannee County, FL"	"12121"	"Female"	"F"	21566
	"Suwannee County, FL"	"12121"	"Male"	"M"	22851
"Total"	"Suwannee County, FL"	"12121"			44417
	"Taylor County, FL"	"12123"	"Female"	"F"	9856
	"Taylor County, FL"	"12123"	"Male"	"M"	11713
"Total"	"Taylor County, FL"	"12123"			21569
	"Union County, FL"	"12125"	"Female"	"F"	5394
	"Union County, FL"	"12125"	"Male"	"M"	9843
"Total"	"Union County, FL"	"12125"			15237
	"Volusia County, FL"	"12127"	"Female"	"F"	283481
	"Volusia County, FL"	"12127"	"Male"	"M"	269803
"Total"	"Volusia County, FL"	"12127"			553284
	"Wakulla County, FL"	"12129"	"Female"	"F"	15500
	"Wakulla County, FL"	"12129"	"Male"	"M"	18239
"Total"	"Wakulla County, FL"	"12129"			33739
	"Walton County, FL"	"12131"	"Female"	"F"	36683
	"Walton County, FL"	"12131"	"Male"	"M"	37388
"Total"	"Walton County, FL"	"12131"			74071
	"Washington County, FL"	"12133"	"Female"	"F"	11679
	"Washington County, FL"	"12133"	"Male"	"M"	13794
"Total"	"Washington County, FL"	"12133"			25473
	"Appling County, GA"	"13001"	"Female"	"F"	9229
	"Appling County, GA"	"13001"	"Male"	"M"	9157
"Total"	"Appling County, GA"	"13001"			18386
	"Atkinson County, GA"	"13003"	"Female"	"F"	4019
	"Atkinson County, GA"	"13003"	"Male"	"M"	4146
"Total"	"Atkinson County, GA"	"13003"			8165
	"Bacon County, GA"	"13005"	"Female"	"F"	5709
	"Bacon County, GA"	"13005"	"Male"	"M"	5455
"Total"	"Bacon County, GA"	"13005"			11164
	"Baker County, GA"	"13007"	"Female"	"F"	1544
	"Baker County, GA"	"13007"	"Male"	"M"	1494
"Total"	"Baker County, GA"	"13007"			3038
	"Baldwin County, GA"	"13009"	"Female"	"F"	22153
	"Baldwin County, GA"	"13009"	"Male"	"M"	22737
"Total"	"Baldwin County, GA"	"13009"			44890
	"Banks County, GA"	"13011"	"Female"	"F"	9459
	"Banks County, GA"	"13011"	"Male"	"M"	9775
"Total"	"Banks County, GA"	"13011"			19234
	"Barrow County, GA"	"13013"	"Female"	"F"	42410
	"Barrow County, GA"	"13013"	"Male"	"M"	40830
"Total"	"Barrow County, GA"	"13013"			83240
	"Bartow County, GA"	"13015"	"Female"	"F"	54574
	"Bartow County, GA"	"13015"	"Male"	"M"	53164
"Total"	"Bartow County, GA"	"13015"			107738
	"Ben Hill County, GA"	"13017"	"Female"	"F"	8814
	"Ben Hill County, GA"	"13017"	"Male"	"M"	7886
"Total"	"Ben Hill County, GA"	"13017"			16700
	"Berrien County, GA"	"13019"	"Female"	"F"	9829
	"Berrien County, GA"	"13019"	"Male"	"M"	9568
"Total"	"Berrien County, GA"	"13019"			19397
	"Bibb County, GA"	"13021"	"Female"	"F"	81500
	"Bibb County, GA"	"13021"	"Male"	"M"	71659
"Total"	"Bibb County, GA"	"13021"			153159
	"Bleckley County, GA"	"13023"	"Female"	"F"	6728
	"Bleckley County, GA"	"13023"	"Male"	"M"	6145
"Total"	"Bleckley County, GA"	"13023"			12873
	"Brantley County, GA"	"13025"	"Female"	"F"	9614
	"Brantley County, GA"	"13025"	"Male"	"M"	9495
"Total"	"Brantley County, GA"	"13025"			19109
	"Brooks County, GA"	"13027"	"Female"	"F"	7940
	"Brooks County, GA"	"13027"	"Male"	"M"	7517
"Total"	"Brooks County, GA"	"13027"			15457
	"Bryan County, GA"	"13029"	"Female"	"F"	20116
	"Bryan County, GA"	"13029"	"Male"	"M"	19511
"Total"	"Bryan County, GA"	"13029"			39627
	"Bulloch County, GA"	"13031"	"Female"	"F"	40566
	"Bulloch County, GA"	"13031"	"Male"	"M"	39042
"Total"	"Bulloch County, GA"	"13031"			79608
	"Burke County, GA"	"13033"	"Female"	"F"	11735
	"Burke County, GA"	"13033"	"Male"	"M"	10648
"Total"	"Burke County, GA"	"13033"			22383
	"Butts County, GA"	"13035"	"Female"	"F"	11754
	"Butts County, GA"	"13035"	"Male"	"M"	13182
"Total"	"Butts County, GA"	"13035"			24936
	"Calhoun County, GA"	"13037"	"Female"	"F"	2442
	"Calhoun County, GA"	"13037"	"Male"	"M"	3747
"Total"	"Calhoun County, GA"	"13037"			6189
	"Camden County, GA"	"13039"	"Female"	"F"	26568
	"Camden County, GA"	"13039"	"Male"	"M"	28098
"Total"	"Camden County, GA"	"13039"			54666
	"Candler County, GA"	"13043"	"Female"	"F"	5526
	"Candler County, GA"	"13043"	"Male"	"M"	5277
"Total"	"Candler County, GA"	"13043"			10803
	"Carroll County, GA"	"13045"	"Female"	"F"	61551
	"Carroll County, GA"	"13045"	"Male"	"M"	58441
"Total"	"Carroll County, GA"	"13045"			119992
	"Catoosa County, GA"	"13047"	"Female"	"F"	34794
	"Catoosa County, GA"	"13047"	"Male"	"M"	32786
"Total"	"Catoosa County, GA"	"13047"			67580
	"Charlton County, GA"	"13049"	"Female"	"F"	5570
	"Charlton County, GA"	"13049"	"Male"	"M"	7822
"Total"	"Charlton County, GA"	"13049"			13392
	"Chatham County, GA"	"13051"	"Female"	"F"	150362
	"Chatham County, GA"	"13051"	"Male"	"M"	139068
"Total"	"Chatham County, GA"	"13051"			289430
	"Chattahoochee County, GA"	"13053"	"Female"	"F"	3925
	"Chattahoochee County, GA"	"13053"	"Male"	"M"	6982
"Total"	"Chattahoochee County, GA"	"13053"			10907
	"Chattooga County, GA"	"13055"	"Female"	"F"	12157
	"Chattooga County, GA"	"13055"	"Male"	"M"	12632
"Total"	"Chattooga County, GA"	"13055"			24789
	"Cherokee County, GA"	"13057"	"Female"	"F"	131389
	"Cherokee County, GA"	"13057"	"Male"	"M"	127384
"Total"	"Cherokee County, GA"	"13057"			258773
	"Clarke County, GA"	"13059"	"Female"	"F"	67509
	"Clarke County, GA"	"13059"	"Male"	"M"	60822
"Total"	"Clarke County, GA"	"13059"			128331
	"Clay County, GA"	"13061"	"Female"	"F"	1509
	"Clay County, GA"	"13061"	"Male"	"M"	1325
"Total"	"Clay County, GA"	"13061"			2834
	"Clayton County, GA"	"13063"	"Female"	"F"	155752
	"Clayton County, GA"	"13063"	"Male"	"M"	136504
"Total"	"Clayton County, GA"	"13063"			292256
	"Clinch County, GA"	"13065"	"Female"	"F"	3419
	"Clinch County, GA"	"13065"	"Male"	"M"	3199
"Total"	"Clinch County, GA"	"13065"			6618
	"Cobb County, GA"	"13067"	"Female"	"F"	391680
	"Cobb County, GA"	"13067"	"Male"	"M"	368461
"Total"	"Cobb County, GA"	"13067"			760141
	"Coffee County, GA"	"13069"	"Female"	"F"	21046
	"Coffee County, GA"	"13069"	"Male"	"M"	22227
"Total"	"Coffee County, GA"	"13069"			43273
	"Colquitt County, GA"	"13071"	"Female"	"F"	23080
	"Colquitt County, GA"	"13071"	"Male"	"M"	22520
"Total"	"Colquitt County, GA"	"13071"			45600
	"Columbia County, GA"	"13073"	"Female"	"F"	80196
	"Columbia County, GA"	"13073"	"Male"	"M"	76518
"Total"	"Columbia County, GA"	"13073"			156714
	"Cook County, GA"	"13075"	"Female"	"F"	8981
	"Cook County, GA"	"13075"	"Male"	"M"	8289
"Total"	"Cook County, GA"	"13075"			17270
	"Coweta County, GA"	"13077"	"Female"	"F"	76200
	"Coweta County, GA"	"13077"	"Male"	"M"	72309
"Total"	"Coweta County, GA"	"13077"			148509
	"Crawford County, GA"	"13079"	"Female"	"F"	6137
	"Crawford County, GA"	"13079"	"Male"	"M"	6267
"Total"	"Crawford County, GA"	"13079"			12404
	"Crisp County, GA"	"13081"	"Female"	"F"	11763
	"Crisp County, GA"	"13081"	"Male"	"M"	10609
"Total"	"Crisp County, GA"	"13081"			22372
	"Dade County, GA"	"13083"	"Female"	"F"	8198
	"Dade County, GA"	"13083"	"Male"	"M"	7918
"Total"	"Dade County, GA"	"13083"			16116
	"Dawson County, GA"	"13085"	"Female"	"F"	13217
	"Dawson County, GA"	"13085"	"Male"	"M"	12891
"Total"	"Dawson County, GA"	"13085"			26108
	"Decatur County, GA"	"13087"	"Female"	"F"	13598
	"Decatur County, GA"	"13087"	"Male"	"M"	12806
"Total"	"Decatur County, GA"	"13087"			26404
	"DeKalb County, GA"	"13089"	"Female"	"F"	400852
	"DeKalb County, GA"	"13089"	"Male"	"M"	358445
"Total"	"DeKalb County, GA"	"13089"			759297
	"Dodge County, GA"	"13091"	"Female"	"F"	9862
	"Dodge County, GA"	"13091"	"Male"	"M"	10743
"Total"	"Dodge County, GA"	"13091"			20605
	"Dooly County, GA"	"13093"	"Female"	"F"	6082
	"Dooly County, GA"	"13093"	"Male"	"M"	7308
"Total"	"Dooly County, GA"	"13093"			13390
	"Dougherty County, GA"	"13095"	"Female"	"F"	47537
	"Dougherty County, GA"	"13095"	"Male"	"M"	40419
"Total"	"Dougherty County, GA"	"13095"			87956
	"Douglas County, GA"	"13097"	"Female"	"F"	76938
	"Douglas County, GA"	"13097"	"Male"	"M"	69405
"Total"	"Douglas County, GA"	"13097"			146343
	"Early County, GA"	"13099"	"Female"	"F"	5437
	"Early County, GA"	"13099"	"Male"	"M"	4753
"Total"	"Early County, GA"	"13099"			10190
	"Echols County, GA"	"13101"	"Female"	"F"	1931
	"Echols County, GA"	"13101"	"Male"	"M"	2075
"Total"	"Echols County, GA"	"13101"			4006
	"Effingham County, GA"	"13103"	"Female"	"F"	32391
	"Effingham County, GA"	"13103"	"Male"	"M"	31905
"Total"	"Effingham County, GA"	"13103"			64296
	"Elbert County, GA"	"13105"	"Female"	"F"	10066
	"Elbert County, GA"	"13105"	"Male"	"M"	9128
"Total"	"Elbert County, GA"	"13105"			19194
	"Emanuel County, GA"	"13107"	"Female"	"F"	11423
	"Emanuel County, GA"	"13107"	"Male"	"M"	11223
"Total"	"Emanuel County, GA"	"13107"			22646
	"Evans County, GA"	"13109"	"Female"	"F"	5492
	"Evans County, GA"	"13109"	"Male"	"M"	5162
"Total"	"Evans County, GA"	"13109"			10654
	"Fannin County, GA"	"13111"	"Female"	"F"	13475
	"Fannin County, GA"	"13111"	"Male"	"M"	12713
"Total"	"Fannin County, GA"	"13111"			26188
	"Fayette County, GA"	"13113"	"Female"	"F"	58986
	"Fayette County, GA"	"13113"	"Male"	"M"	55435
"Total"	"Fayette County, GA"	"13113"			114421
	"Floyd County, GA"	"13115"	"Female"	"F"	50809
	"Floyd County, GA"	"13115"	"Male"	"M"	47689
"Total"	"Floyd County, GA"	"13115"			98498
	"Forsyth County, GA"	"13117"	"Female"	"F"	123149
	"Forsyth County, GA"	"13117"	"Male"	"M"	121103
"Total"	"Forsyth County, GA"	"13117"			244252
	"Franklin County, GA"	"13119"	"Female"	"F"	11913
	"Franklin County, GA"	"13119"	"Male"	"M"	11436
"Total"	"Franklin County, GA"	"13119"			23349
	"Fulton County, GA"	"13121"	"Female"	"F"	549443
	"Fulton County, GA"	"13121"	"Male"	"M"	514494
"Total"	"Fulton County, GA"	"13121"			1063937
	"Gilmer County, GA"	"13123"	"Female"	"F"	15689
	"Gilmer County, GA"	"13123"	"Male"	"M"	15680
"Total"	"Gilmer County, GA"	"13123"			31369
	"Glascock County, GA"	"13125"	"Female"	"F"	1501
	"Glascock County, GA"	"13125"	"Male"	"M"	1470
"Total"	"Glascock County, GA"	"13125"			2971
	"Glynn County, GA"	"13127"	"Female"	"F"	45226
	"Glynn County, GA"	"13127"	"Male"	"M"	40066
"Total"	"Glynn County, GA"	"13127"			85292
	"Gordon County, GA"	"13129"	"Female"	"F"	29365
	"Gordon County, GA"	"13129"	"Male"	"M"	28598
"Total"	"Gordon County, GA"	"13129"			57963
	"Grady County, GA"	"13131"	"Female"	"F"	12734
	"Grady County, GA"	"13131"	"Male"	"M"	11899
"Total"	"Grady County, GA"	"13131"			24633
	"Greene County, GA"	"13133"	"Female"	"F"	9372
	"Greene County, GA"	"13133"	"Male"	"M"	8952
"Total"	"Greene County, GA"	"13133"			18324
	"Gwinnett County, GA"	"13135"	"Female"	"F"	479554
	"Gwinnett County, GA"	"13135"	"Male"	"M"	456696
"Total"	"Gwinnett County, GA"	"13135"			936250
	"Habersham County, GA"	"13137"	"Female"	"F"	23682
	"Habersham County, GA"	"13137"	"Male"	"M"	21646
"Total"	"Habersham County, GA"	"13137"			45328
	"Hall County, GA"	"13139"	"Female"	"F"	102781
	"Hall County, GA"	"13139"	"Male"	"M"	101660
"Total"	"Hall County, GA"	"13139"			204441
	"Hancock County, GA"	"13141"	"Female"	"F"	3722
	"Hancock County, GA"	"13141"	"Male"	"M"	4735
"Total"	"Hancock County, GA"	"13141"			8457
	"Haralson County, GA"	"13143"	"Female"	"F"	15321
	"Haralson County, GA"	"13143"	"Male"	"M"	14471
"Total"	"Haralson County, GA"	"13143"			29792
	"Harris County, GA"	"13145"	"Female"	"F"	17595
	"Harris County, GA"	"13145"	"Male"	"M"	17641
"Total"	"Harris County, GA"	"13145"			35236
	"Hart County, GA"	"13147"	"Female"	"F"	13225
	"Hart County, GA"	"13147"	"Male"	"M"	12980
"Total"	"Hart County, GA"	"13147"			26205
	"Heard County, GA"	"13149"	"Female"	"F"	5960
	"Heard County, GA"	"13149"	"Male"	"M"	5963
"Total"	"Heard County, GA"	"13149"			11923
	"Henry County, GA"	"13151"	"Female"	"F"	122894
	"Henry County, GA"	"13151"	"Male"	"M"	111667
"Total"	"Henry County, GA"	"13151"			234561
	"Houston County, GA"	"13153"	"Female"	"F"	81523
	"Houston County, GA"	"13153"	"Male"	"M"	76340
"Total"	"Houston County, GA"	"13153"			157863
	"Irwin County, GA"	"13155"	"Female"	"F"	4448
	"Irwin County, GA"	"13155"	"Male"	"M"	4968
"Total"	"Irwin County, GA"	"13155"			9416
	"Jackson County, GA"	"13157"	"Female"	"F"	36903
	"Jackson County, GA"	"13157"	"Male"	"M"	36074
"Total"	"Jackson County, GA"	"13157"			72977
	"Jasper County, GA"	"13159"	"Female"	"F"	7233
	"Jasper County, GA"	"13159"	"Male"	"M"	6986
"Total"	"Jasper County, GA"	"13159"			14219
	"Jeff Davis County, GA"	"13161"	"Female"	"F"	7647
	"Jeff Davis County, GA"	"13161"	"Male"	"M"	7468
"Total"	"Jeff Davis County, GA"	"13161"			15115
	"Jefferson County, GA"	"13163"	"Female"	"F"	7933
	"Jefferson County, GA"	"13163"	"Male"	"M"	7429
"Total"	"Jefferson County, GA"	"13163"			15362
	"Jenkins County, GA"	"13165"	"Female"	"F"	4057
	"Jenkins County, GA"	"13165"	"Male"	"M"	4619
"Total"	"Jenkins County, GA"	"13165"			8676
	"Johnson County, GA"	"13167"	"Female"	"F"	4195
	"Johnson County, GA"	"13167"	"Male"	"M"	5448
"Total"	"Johnson County, GA"	"13167"			9643
	"Jones County, GA"	"13169"	"Female"	"F"	14837
	"Jones County, GA"	"13169"	"Male"	"M"	13898
"Total"	"Jones County, GA"	"13169"			28735
	"Lamar County, GA"	"13171"	"Female"	"F"	9958
	"Lamar County, GA"	"13171"	"Male"	"M"	9119
"Total"	"Lamar County, GA"	"13171"			19077
	"Lanier County, GA"	"13173"	"Female"	"F"	5144
	"Lanier County, GA"	"13173"	"Male"	"M"	5279
"Total"	"Lanier County, GA"	"13173"			10423
	"Laurens County, GA"	"13175"	"Female"	"F"	25052
	"Laurens County, GA"	"13175"	"Male"	"M"	22494
"Total"	"Laurens County, GA"	"13175"			47546
	"Lee County, GA"	"13177"	"Female"	"F"	14928
	"Lee County, GA"	"13177"	"Male"	"M"	15064
"Total"	"Lee County, GA"	"13177"			29992
	"Liberty County, GA"	"13179"	"Female"	"F"	30596
	"Liberty County, GA"	"13179"	"Male"	"M"	30839
"Total"	"Liberty County, GA"	"13179"			61435
	"Lincoln County, GA"	"13181"	"Female"	"F"	4074
	"Lincoln County, GA"	"13181"	"Male"	"M"	3847
"Total"	"Lincoln County, GA"	"13181"			7921
	"Long County, GA"	"13183"	"Female"	"F"	9691
	"Long County, GA"	"13183"	"Male"	"M"	9868
"Total"	"Long County, GA"	"13183"			19559
	"Lowndes County, GA"	"13185"	"Female"	"F"	60743
	"Lowndes County, GA"	"13185"	"Male"	"M"	56663
"Total"	"Lowndes County, GA"	"13185"			117406
	"Lumpkin County, GA"	"13187"	"Female"	"F"	16954
	"Lumpkin County, GA"	"13187"	"Male"	"M"	16656
"Total"	"Lumpkin County, GA"	"13187"			33610
	"McDuffie County, GA"	"13189"	"Female"	"F"	11324
	"McDuffie County, GA"	"13189"	"Male"	"M"	9988
"Total"	"McDuffie County, GA"	"13189"			21312
	"McIntosh County, GA"	"13191"	"Female"	"F"	7391
	"McIntosh County, GA"	"13191"	"Male"	"M"	6987
"Total"	"McIntosh County, GA"	"13191"			14378
	"Macon County, GA"	"13193"	"Female"	"F"	5864
	"Macon County, GA"	"13193"	"Male"	"M"	7083
"Total"	"Macon County, GA"	"13193"			12947
	"Madison County, GA"	"13195"	"Female"	"F"	15108
	"Madison County, GA"	"13195"	"Male"	"M"	14772
"Total"	"Madison County, GA"	"13195"			29880
	"Marion County, GA"	"13197"	"Female"	"F"	4213
	"Marion County, GA"	"13197"	"Male"	"M"	4146
"Total"	"Marion County, GA"	"13197"			8359
	"Meriwether County, GA"	"13199"	"Female"	"F"	11034
	"Meriwether County, GA"	"13199"	"Male"	"M"	10133
"Total"	"Meriwether County, GA"	"13199"			21167
	"Miller County, GA"	"13201"	"Female"	"F"	2983
	"Miller County, GA"	"13201"	"Male"	"M"	2735
"Total"	"Miller County, GA"	"13201"			5718
	"Mitchell County, GA"	"13205"	"Female"	"F"	10555
	"Mitchell County, GA"	"13205"	"Male"	"M"	11308
"Total"	"Mitchell County, GA"	"13205"			21863
	"Monroe County, GA"	"13207"	"Female"	"F"	13856
	"Monroe County, GA"	"13207"	"Male"	"M"	13722
"Total"	"Monroe County, GA"	"13207"			27578
	"Montgomery County, GA"	"13209"	"Female"	"F"	4519
	"Montgomery County, GA"	"13209"	"Male"	"M"	4653
"Total"	"Montgomery County, GA"	"13209"			9172
	"Morgan County, GA"	"13211"	"Female"	"F"	10015
	"Morgan County, GA"	"13211"	"Male"	"M"	9261
"Total"	"Morgan County, GA"	"13211"			19276
	"Murray County, GA"	"13213"	"Female"	"F"	20340
	"Murray County, GA"	"13213"	"Male"	"M"	19756
"Total"	"Murray County, GA"	"13213"			40096
	"Muscogee County, GA"	"13215"	"Female"	"F"	100630
	"Muscogee County, GA"	"13215"	"Male"	"M"	95139
"Total"	"Muscogee County, GA"	"13215"			195769
	"Newton County, GA"	"13217"	"Female"	"F"	59094
	"Newton County, GA"	"13217"	"Male"	"M"	52650
"Total"	"Newton County, GA"	"13217"			111744
	"Oconee County, GA"	"13219"	"Female"	"F"	20515
	"Oconee County, GA"	"13219"	"Male"	"M"	19765
"Total"	"Oconee County, GA"	"13219"			40280
	"Oglethorpe County, GA"	"13221"	"Female"	"F"	7672
	"Oglethorpe County, GA"	"13221"	"Male"	"M"	7587
"Total"	"Oglethorpe County, GA"	"13221"			15259
	"Paulding County, GA"	"13223"	"Female"	"F"	86466
	"Paulding County, GA"	"13223"	"Male"	"M"	82201
"Total"	"Paulding County, GA"	"13223"			168667
	"Peach County, GA"	"13225"	"Female"	"F"	14282
	"Peach County, GA"	"13225"	"Male"	"M"	13264
"Total"	"Peach County, GA"	"13225"			27546
	"Pickens County, GA"	"13227"	"Female"	"F"	16645
	"Pickens County, GA"	"13227"	"Male"	"M"	15946
"Total"	"Pickens County, GA"	"13227"			32591
	"Pierce County, GA"	"13229"	"Female"	"F"	9827
	"Pierce County, GA"	"13229"	"Male"	"M"	9638
"Total"	"Pierce County, GA"	"13229"			19465
	"Pike County, GA"	"13231"	"Female"	"F"	9706
	"Pike County, GA"	"13231"	"Male"	"M"	9256
"Total"	"Pike County, GA"	"13231"			18962
	"Polk County, GA"	"13233"	"Female"	"F"	21773
	"Polk County, GA"	"13233"	"Male"	"M"	20840
"Total"	"Polk County, GA"	"13233"			42613
	"Pulaski County, GA"	"13235"	"Female"	"F"	6349
	"Pulaski County, GA"	"13235"	"Male"	"M"	4788
"Total"	"Pulaski County, GA"	"13235"			11137
	"Putnam County, GA"	"13237"	"Female"	"F"	11365
	"Putnam County, GA"	"13237"	"Male"	"M"	10754
"Total"	"Putnam County, GA"	"13237"			22119
	"Quitman County, GA"	"13239"	"Female"	"F"	1202
	"Quitman County, GA"	"13239"	"Male"	"M"	1097
"Total"	"Quitman County, GA"	"13239"			2299
	"Rabun County, GA"	"13241"	"Female"	"F"	8771
	"Rabun County, GA"	"13241"	"Male"	"M"	8366
"Total"	"Rabun County, GA"	"13241"			17137
	"Randolph County, GA"	"13243"	"Female"	"F"	3637
	"Randolph County, GA"	"13243"	"Male"	"M"	3141
"Total"	"Randolph County, GA"	"13243"			6778
	"Richmond County, GA"	"13245"	"Female"	"F"	104293
	"Richmond County, GA"	"13245"	"Male"	"M"	98225
"Total"	"Richmond County, GA"	"13245"			202518
	"Rockdale County, GA"	"13247"	"Female"	"F"	48138
	"Rockdale County, GA"	"13247"	"Male"	"M"	42758
"Total"	"Rockdale County, GA"	"13247"			90896
	"Schley County, GA"	"13249"	"Female"	"F"	2747
	"Schley County, GA"	"13249"	"Male"	"M"	2510
"Total"	"Schley County, GA"	"13249"			5257
	"Screven County, GA"	"13251"	"Female"	"F"	7026
	"Screven County, GA"	"13251"	"Male"	"M"	6940
"Total"	"Screven County, GA"	"13251"			13966
	"Seminole County, GA"	"13253"	"Female"	"F"	4206
	"Seminole County, GA"	"13253"	"Male"	"M"	3884
"Total"	"Seminole County, GA"	"13253"			8090
	"Spalding County, GA"	"13255"	"Female"	"F"	34662
	"Spalding County, GA"	"13255"	"Male"	"M"	32041
"Total"	"Spalding County, GA"	"13255"			66703
	"Stephens County, GA"	"13257"	"Female"	"F"	13418
	"Stephens County, GA"	"13257"	"Male"	"M"	12507
"Total"	"Stephens County, GA"	"13257"			25925
	"Stewart County, GA"	"13259"	"Female"	"F"	2101
	"Stewart County, GA"	"13259"	"Male"	"M"	4520
"Total"	"Stewart County, GA"	"13259"			6621
	"Sumter County, GA"	"13261"	"Female"	"F"	15697
	"Sumter County, GA"	"13261"	"Male"	"M"	13827
"Total"	"Sumter County, GA"	"13261"			29524
	"Talbot County, GA"	"13263"	"Female"	"F"	3250
	"Talbot County, GA"	"13263"	"Male"	"M"	2945
"Total"	"Talbot County, GA"	"13263"			6195
	"Taliaferro County, GA"	"13265"	"Female"	"F"	788
	"Taliaferro County, GA"	"13265"	"Male"	"M"	749
"Total"	"Taliaferro County, GA"	"13265"			1537
	"Tattnall County, GA"	"13267"	"Female"	"F"	10788
	"Tattnall County, GA"	"13267"	"Male"	"M"	14498
"Total"	"Tattnall County, GA"	"13267"			25286
	"Taylor County, GA"	"13269"	"Female"	"F"	4200
	"Taylor County, GA"	"13269"	"Male"	"M"	3820
"Total"	"Taylor County, GA"	"13269"			8020
	"Telfair County, GA"	"13271"	"Female"	"F"	6553
	"Telfair County, GA"	"13271"	"Male"	"M"	9307
"Total"	"Telfair County, GA"	"13271"			15860
	"Terrell County, GA"	"13273"	"Female"	"F"	4473
	"Terrell County, GA"	"13273"	"Male"	"M"	4058
"Total"	"Terrell County, GA"	"13273"			8531
	"Thomas County, GA"	"13275"	"Female"	"F"	23439
	"Thomas County, GA"	"13275"	"Male"	"M"	21012
"Total"	"Thomas County, GA"	"13275"			44451
	"Tift County, GA"	"13277"	"Female"	"F"	20961
	"Tift County, GA"	"13277"	"Male"	"M"	19683
"Total"	"Tift County, GA"	"13277"			40644
	"Toombs County, GA"	"13279"	"Female"	"F"	14131
	"Toombs County, GA"	"13279"	"Male"	"M"	12699
"Total"	"Toombs County, GA"	"13279"			26830
	"Towns County, GA"	"13281"	"Female"	"F"	6311
	"Towns County, GA"	"13281"	"Male"	"M"	5726
"Total"	"Towns County, GA"	"13281"			12037
	"Treutlen County, GA"	"13283"	"Female"	"F"	3472
	"Treutlen County, GA"	"13283"	"Male"	"M"	3429
"Total"	"Treutlen County, GA"	"13283"			6901
	"Troup County, GA"	"13285"	"Female"	"F"	36507
	"Troup County, GA"	"13285"	"Male"	"M"	33415
"Total"	"Troup County, GA"	"13285"			69922
	"Turner County, GA"	"13287"	"Female"	"F"	4132
	"Turner County, GA"	"13287"	"Male"	"M"	3853
"Total"	"Turner County, GA"	"13287"			7985
	"Twiggs County, GA"	"13289"	"Female"	"F"	4149
	"Twiggs County, GA"	"13289"	"Male"	"M"	3971
"Total"	"Twiggs County, GA"	"13289"			8120
	"Union County, GA"	"13291"	"Female"	"F"	12643
	"Union County, GA"	"13291"	"Male"	"M"	11868
"Total"	"Union County, GA"	"13291"			24511
	"Upson County, GA"	"13293"	"Female"	"F"	13843
	"Upson County, GA"	"13293"	"Male"	"M"	12477
"Total"	"Upson County, GA"	"13293"			26320
	"Walker County, GA"	"13295"	"Female"	"F"	35452
	"Walker County, GA"	"13295"	"Male"	"M"	34309
"Total"	"Walker County, GA"	"13295"			69761
	"Walton County, GA"	"13297"	"Female"	"F"	48406
